field_index,ra0_deg,dec0_deg,target_name,n_target_names,Nvisits,field_mjd_min,field_mjd_max,field_span_days,field_span_years,ebv_mw,R_u_mw,A_u_mw,R_g_mw,A_g_mw,R_r_mw,A_r_mw,R_i_mw,A_i_mw,R_z_mw,A_z_mw,R_y_mw,A_y_mw
45,104.16205665224348,-45.72714845927727,lowdust,1,792,61339.3057505018,64815.96166848908,3476.6559179872784,9.51856514164895,0.09637293219566345,4.757217815396922,0.4584670299632498,3.6605664439892616,0.352779521704298,2.70136780871597,0.2603387366649321,2.0536599130965882,0.1979172275578096,1.5900964472616756,0.15324225709651482,1.3077049588254708,0.12602736132881995
46,358.01662279199803,-7.8655706371334295,lowdust,1,727,61219.388604569474,64852.38407562277,3632.9954710532984,9.946599510070632,0.042864590883255005,4.757217815396922,0.20391619539952122,3.6605664439892616,0.1569086830225713,2.70136780871597,0.11579302594580512,2.0536599130965882,0.08802929198822629,1.5900964472616756,0.06815883367678899,1.3077049588254708,0.05605423805605764
47,46.75462216139661,-7.186524869577092,lowdust,1,793,61304.2455804727,64778.99708650869,3474.7515060359874,9.513351145889082,0.10141308605670929,4.757217815396922,0.48244413970335864,3.6605664439892616,0.3712293398005853,2.70136780871597,0.2739540460561369,2.0536599130965882,0.20826798949807843,1.5900964472616756,0.16125658784461602,1.3077049588254708,0.13261839552615295
48,65.23842431195699,-63.93970834127558,lowdust,1,784,61296.40495828398,64854.43132893941,3558.0263706554324,9.74134529953575,0.03670739009976387,4.757217815396922,0.17462505013932128,3.6605664439892616,0.13436984044561925,2.70136780871597,0.09916016195748142,2.0536599130965882,0.07538449556228363,1.5900964472616756,0.058368290585882936,1.3077049588254708,0.04800243605900221
49,204.25597590882646,-27.310554774735852,lowdust,1,831,61219.06805420208,64854.11033429701,3635.042280094931,9.952203367816375,0.06463975459337234,4.757217815396922,0.307505392134476,3.6605664439892616,0.23661811661219953,2.70136780871597,0.1746157522218363,2.0536599130965882,0.13274807280080983,1.5900964472616756,0.10278344413078795,1.3077049588254708,0.08452972761901452
50,168.3017285995354,-39.465669752967294,lowdust,1,813,61396.34406075491,64852.05638673306,3455.712325978144,9.461224711781366,0.1515265554189682,4.757217815396922,0.7208448289448446,3.6605664439892616,0.5546730241399542,2.70136780871597,0.4093289589744171,2.0536599130965882,0.3111840126335436,1.5900964472616756,0.24094183743750075,1.3077049588254708,0.19815202791512723
51,144.63596493190312,6.083354209213219,lowdust,1,674,61222.95214562817,64849.01685522966,3626.0647096014873,9.927624119374366,0.0511840283870697,4.757217815396922,0.2434935717067498,3.6605664439892616,0.18736253678190115,2.70136780871597,0.13826688660523448,2.0536599130965882,0.10511458728932287,1.5900964472616756,0.08138754169482029,1.3077049588254708,0.06693360773443471
52,131.95972582957225,-23.19106305405938,lowdust,1,759,61291.40114436638,64830.016055662585,3538.6149112962084,9.688199620249716,0.17228826880455017,4.757217815396922,0.8196128217408999,3.6605664439892616,0.6306726554789382,2.70136780871597,0.4654139831680157,2.0536599130965882,0.35382151114071414,1.5900964472616756,0.2739549641309798,1.3077049588254708,0.22530222346316592
53,29.392954303542346,-34.31833890789797,lowdust,1,692,61219.42684765373,64860.356616664525,3640.9297690107924,9.968322433978898,0.014008118771016598,4.757217815396922,0.0666396721776762,3.6605664439892616,0.05127764951659945,2.70136780871597,0.037841081108694156,2.0536599130965882,0.02876791197793263,1.5900964472616756,0.02227425989061308,1.3077049588254708,0.018318486380674563
54,178.11052324368396,-40.96028374350162,lowdust,1,764,61213.994397953385,64849.098733904335,3635.1043359509495,9.952373267490621,0.14991505444049835,4.757217815396922,0.7131785677805382,3.6605664439892616,0.5487740177337116,2.70136780871597,0.40497570210746436,2.0536599130965882,0.30787453767414413,1.5900964472616756,0.2383793954568771,1.3077049588254708,0.1960446600944301
55,199.56914509022684,-19.81781287695035,lowdust,1,694,61208.96531764225,64853.96236640985,3644.9970487675964,9.97945803906255,0.09521189332008362,4.757217815396922,0.452943715139973,3.6605664439892616,0.34852946175618343,2.70136780871597,0.25720234362177297,2.0536599130965882,0.19553284856148456,1.5900964472616756,0.15139609330532264,1.3077049588254708,0.12450906503383506
56,161.89667933476548,13.380597421663438,"lowdust, GW_case_B_C_354",1,832,61436.306976399566,64853.01371845703,3416.7067420574604,9.354433243141575,0.032646868377923965,4.757217815396922,0.15530826386437832,3.6605664439892616,0.11950603088556261,2.70136780871597,0.08819119929151116,2.0536599130965882,0.06704556487588309,1.5900964472616756,0.05191166942195644,1.3077049588254708,0.04269247166793362
57,262.3292466194128,-12.137723244271001,"bulgy, dusty_plane",1,412,61210.24123423421,64856.29134636171,3646.050112127501,9.982341169411365,0.6915866136550903,4.757217815396922,3.2900281593700242,3.6605664439892616,2.5315987510579894,2.70136780871597,1.8682298150667496,2.0536599130965882,1.4202837048976766,1.5900964472616756,1.0996894173466922,1.3077049588254708,0.9043912441340767
58,222.19795418008755,-20.065970993990682,lowdust,1,709,61209.11536342449,64854.15527428601,3645.0399108615165,9.979575389080127,0.10430638492107391,4.757217815396922,0.4962081926061817,3.6605664439892616,0.3818204525359107,2.70136780871597,0.2817699104693259,2.0536599130965882,0.21420984139243193,1.5900964472616756,0.16585721208970844,1.3077049588254708,0.13640197679844668
